AA/Compound	    Code	monoisotopic	average
Alanine	         A	    71.03711     	71.0788
Arginine	     R	    156.10111	    156.1875
Asparagine	     N 	    114.04293	    114.1038
Aspartic acid	 D	    115.02694    	115.0886
Cysteine	     C	    103.00919	    103.1388
Glutamic acid    E	    129.04259	    129.1155
Glutamine	     Q	    128.05858	    128.1307
Glycine	         G      57.02146	    57.0519
Histidine        H	    137.05891	    137.1411
Isoleucine	     I	    113.08406	    113.1594
Leucine	         L	    113.08406	    113.1594
Lysine	         K	    128.09496       128.1741
Methionine       M	    131.04049   	131.1926
Phenylalanine    F	    147.06841	    147.1766
Proline	         P	    97.05276    	97.1167
Serine	         S	    87.03203    	87.0782
Threonine	     T	    101.04768   	101.1051
Tryptophan	     W	    186.07931	    186.2132
Tyrosine         Y	    163.06333	    163.1760
Valine           V	    99.06841    	99.1326
Selenocysteine	 U	    150.953636   	150.0388
Pyrrolysine	     O	    237.147727   	237.3018
Water	        H2O	    18.01056	    18.01524
